id,accession_no_csv,object_work_type,title_text
ebf4450a-a2d6-4962-a6e4-2a2bd43e75c8,2014-00107,guidebooks,Good Food Guide to Singapore
6e6ec8c4-ff0a-4eb2-9d92-c131a74b8446,2014-00108,hardcover books,"Twentieth Century Impression of British Malaya Twentieth Century Impression of British Malaya: Its History, People, Commerce, Industries and Resources"
bd4bf69e-7175-40c5-93b2-a08e9625ed89,2014-00109,condiment vessels holders (containers),Two Condiment Holders
054d211d-7092-4752-b8b4-07ff52bec450,2014-00109-001,condiment vessels holders (containers),Condiment Holders Two Condiment Holders
40873785-d6f1-4748-b05a-c1d23c5f0fd5,2014-00109-002,condiment vessels holders (containers),Condiment Holders Two Condiment Holders
f1d20baf-923a-481d-8553-e07f6e78bac8,2014-00126-004,black-and-white photographs,Sarkies Brothers Five Photos of Sarkies Family Members
b3b57866-c70e-4ef2-bdb5-ee864ed525c9,2014-00161,coffee cups saucers (plates),Two Coffee Cup and Saucer Sets Two Coffee Cup Sets
7b2234cd-b04c-4a6b-844b-16ffbea8d0eb,2014-00162,condiment vessels holders (containers),Condiment Holder
5972e9c5-7895-4585-b6ac-b9dfbc3ef477,2014-00163,holders (containers),Cream Container
62addd73-11c4-4ea4-b98b-cb9a62b0d14b,2014-00164,soup plates,Soup Plate
0bb0fd5b-4a5f-4774-bdd2-eee9aa917934,2014-00180,stickers,Raffles Hotel Service Bell Sticker
c3a39b74-2115-4cd6-9d64-9cfba3891f07,2014-00198,pens (drawing and writing implements),Pen
c3232bfc-247f-41cb-89ae-666f3de76974,2014-00202,black-and-white photographs photographs,Photo of Canton
547a9199-a836-4c46-991d-27fae8aa2171,2014-00203,picture postcards,Postcard 'China'
11827fb7-3f71-4a15-b931-04d00c36958f,2014-00204,prints (visual works),A Japanese Lady Picture of A Japanese Lady
6a1b461c-be76-4064-a5ea-ba353d8f96ff,2014-00205,picture postcards,"Three Postcards entitled “Java-China-Japan Lijn\"\" Set of Postcards “Java-China-Japan” (x3)"
4c12a19a-9a57-42af-a964-3f1cad0d3995,2014-00206,brochures advertising cards picture postcards newsletters clippings (information artifacts) black-and-white photographs,Items Related to Doris Geddes
d7aee8c3-e722-473c-a423-bd3453cca617,2014-00206-004,dresses (garments),Dress Items Related to Doris Geddes
61202873-3d4d-4daf-bedc-3ba14c9fb4c7,2014-00206-009,brochures,Doris Geddes Little Shop in Raffles Hotel Singapore Items Related to Doris Geddes
